idTransaccion,cuentaOrigen,cliente,tipo,monto,fecha,hora,estado
TX-000001,002-356150,Pedro Castillo,Deposito,2374.63,2026-11-20,19:03:58,Anulada
TX-000002,005-741390,Rosa Herrera,Transferencia,10021.27,2026-08-04,09:16:04,Pendiente
TX-000003,002-240814,Lucia Vega,Transferencia,13346.79,2026-10-16,07:49:30,Anulada
TX-000004,003-385577,Lucia Vega,Retiro,10767.01,2026-03-21,01:39:52,Pendiente
TX-000005,009-612262,Lucia Vega,Transferencia,1393.55,2026-06-14,12:00:44,Pendiente
TX-000006,001-103717,Pedro Castillo,Retiro,9560.33,2026-04-12,17:36:00,Rechazada
TX-000007,008-678478,Fernando Diaz,PagoServicio,8417.99,2026-02-13,10:44:24,Aprobada
TX-000008,003-672092,Ana Torres,Deposito,8741.82,2026-02-27,12:20:02,Observada
TX-000009,003-143860,Lucia Vega,Deposito,13485.73,2026-11-06,04:23:51,Aprobada
TX-000010,006-320281,Camila Ruiz,Retiro,10007.33,2026-05-18,08:31:25,Anulada
TX-000011,007-750810,Fernando Diaz,Retiro,13887.20,2026-04-02,22:33:06,Rechazada
TX-000012,003-532322,Ana Torres,Retiro,11051.10,2026-05-10,00:11:34,Observada
TX-000013,004-379766,Maria Soto,Transferencia,5744.30,2026-01-16,00:56:22,Observada
TX-000014,004-309267,Miguel Castro,PagoServicio,5251.38,2026-11-15,15:57:12,Rechazada
TX-000015,004-124813,Camila Ruiz,Retiro,5983.01,2026-04-19,04:46:07,Aprobada
TX-000016,005-468203,Camila Ruiz,PagoServicio,10195.98,2026-11-24,15:29:31,Anulada
TX-000017,006-128941,Luis Ramos,Deposito,2686.73,2026-04-14,02:19:33,Aprobada
TX-000018,002-725550,Sofia Rojas,Deposito,10930.89,2026-05-02,19:41:04,Observada
TX-000019,009-221263,Sofia Rojas,Retiro,3828.29,2026-10-03,06:21:27,Observada
TX-000020,001-645175,Elena Vargas,Retiro,5469.68,2026-01-28,04:12:11,Pendiente
TX-000021,006-795612,Miguel Castro,Transferencia,10799.12,2026-04-27,15:12:23,Anulada
TX-000022,005-799287,Sofia Rojas,Deposito,6041.98,2026-04-25,19:42:22,Anulada
TX-000023,003-301158,Sofia Rojas,PagoServicio,10163.00,2026-12-17,14:45:27,Rechazada
TX-000024,005-525800,Valeria Leon,Transferencia,4565.09,2026-03-23,15:02:40,Observada
TX-000025,006-587575,Jorge Medina,PagoServicio,10137.65,2026-07-18,12:29:13,Observada
TX-000026,003-790855,Luis Ramos,Deposito,7736.63,2026-09-03,19:26:10,Anulada
TX-000027,006-197923,Miguel Castro,Retiro,10095.21,2026-03-29,05:48:09,Rechazada
TX-000028,003-125611,Ana Torres,Retiro,14759.20,2026-08-26,09:29:10,Aprobada
TX-000029,008-534572,Elena Vargas,Retiro,10778.01,2026-05-30,02:56:19,Observada
TX-000030,007-355836,Maria Soto,Transferencia,13390.97,2026-12-01,03:53:14,Aprobada
TX-000031,007-329471,Maria Soto,PagoServicio,762.77,2026-04-07,18:41:46,Aprobada
TX-000032,008-239816,Rosa Herrera,PagoServicio,10016.99,2026-08-06,01:33:40,Anulada
TX-000033,006-891937,Elena Vargas,PagoServicio,9193.66,2026-10-07,08:07:09,Anulada
TX-000034,007-970914,Elena Vargas,PagoServicio,13459.15,2026-10-16,19:22:15,Observada
TX-000035,008-371782,Rosa Herrera,Retiro,12599.54,2026-04-18,16:43:44,Anulada
TX-000036,008-757193,Carlos Perez,Deposito,6603.69,2026-10-05,02:43:12,Pendiente
TX-000037,004-384913,Pedro Castillo,Deposito,13396.47,2026-02-01,07:02:17,Rechazada
TX-000038,003-342495,Sofia Rojas,Retiro,10599.22,2026-01-25,22:39:22,Observada
TX-000039,007-446954,Valeria Leon,PagoServicio,6242.46,2026-03-22,07:50:10,Observada
TX-000040,007-907189,Diego Flores,Transferencia,12852.41,2026-10-25,07:51:31,Anulada
TX-000041,007-600149,Ana Torres,Deposito,4486.20,2026-06-01,10:56:20,Observada
TX-000042,009-883826,Fernando Diaz,Retiro,7328.56,2026-04-16,23:56:29,Observada
TX-000043,008-130434,Sofia Rojas,Deposito,10036.42,2026-11-06,23:13:32,Observada
TX-000044,003-981334,Jorge Medina,Retiro,14711.02,2026-07-27,10:23:35,Aprobada
TX-000045,007-720644,Diego Flores,Transferencia,1268.37,2026-06-16,10:57:38,Rechazada
TX-000046,008-290556,Ana Torres,Deposito,5692.77,2026-03-24,04:49:00,Observada
TX-000047,006-453894,Rosa Herrera,PagoServicio,4181.07,2026-11-20,02:05:46,Observada
TX-000048,005-975467,Luis Ramos,PagoServicio,300.56,2026-07-29,11:44:59,Aprobada
TX-000049,006-335113,Camila Ruiz,Transferencia,11720.68,2026-09-11,02:47:37,Aprobada
TX-000050,001-359295,Carlos Perez,Transferencia,9323.82,2026-04-03,15:24:00,Rechazada
TX-000051,008-801978,Luis Ramos,Retiro,6980.86,2026-04-10,12:21:51,Pendiente
TX-000052,003-735324,Diego Flores,Transferencia,11669.10,2026-03-05,14:24:28,Pendiente
TX-000053,002-706794,Ana Torres,Deposito,8641.19,2026-12-19,15:25:01,Observada
TX-000054,007-849747,Carlos Perez,Transferencia,8885.55,2026-11-19,13:29:19,Rechazada
TX-000055,002-831059,Rosa Herrera,Deposito,12755.90,2026-08-22,04:14:30,Aprobada
TX-000056,001-464069,Valeria Leon,PagoServicio,9926.20,2026-01-27,18:43:24,Anulada
TX-000057,006-113266,Miguel Castro,PagoServicio,12336.74,2026-02-10,23:41:36,Observada
TX-000058,006-766459,Elena Vargas,PagoServicio,10612.56,2026-06-19,03:02:03,Rechazada
TX-000059,009-782054,Lucia Vega,PagoServicio,6978.46,2026-11-17,16:24:15,Anulada
TX-000060,005-437960,Miguel Castro,Retiro,12462.66,2026-02-03,15:45:24,Pendiente
TX-000061,008-355709,Rosa Herrera,PagoServicio,8552.05,2026-09-17,11:58:04,Observada
TX-000062,006-130094,Jorge Medina,Deposito,2735.78,2026-03-24,09:06:01,Pendiente
TX-000063,005-456871,Lucia Vega,Deposito,8341.31,2026-07-20,15:18:53,Rechazada
TX-000064,002-353080,Fernando Diaz,PagoServicio,7333.78,2026-10-22,10:36:24,Rechazada
TX-000065,008-777278,Fernando Diaz,PagoServicio,6728.14,2026-01-07,16:43:07,Aprobada
TX-000066,005-332360,Sofia Rojas,Retiro,4600.03,2026-08-14,20:29:27,Pendiente
TX-000067,008-680358,Valeria Leon,Deposito,6388.30,2026-10-17,16:37:19,Anulada
TX-000068,006-468900,Fernando Diaz,PagoServicio,4071.04,2026-04-08,15:15:07,Rechazada
TX-000069,002-856321,Carlos Perez,Deposito,1802.13,2026-07-28,02:36:50,Rechazada
TX-000070,004-326895,Fernando Diaz,PagoServicio,4154.73,2026-08-17,23:20:53,Anulada
TX-000071,005-205409,Miguel Castro,Retiro,4450.73,2026-05-21,03:39:19,Rechazada
