idTransaccion,cuentaOrigen,cliente,tipo,monto,fecha,hora,estado
TX-000001,002-126225,Fernando Diaz,Deposito,3680.93,2026-02-24,04:35:15,Aprobada
TX-000002,009-191161,Diego Flores,PagoServicio,486.42,2026-02-06,09:18:10,Rechazada
TX-000003,004-629903,Diego Flores,Transferencia,8423.06,2026-10-06,01:47:11,Anulada
TX-000004,007-331148,Jorge Medina,Deposito,12143.36,2026-01-03,12:34:22,Rechazada
TX-000005,007-456778,Lucia Vega,Retiro,3237.55,2026-10-24,12:16:51,Pendiente
TX-000006,002-197251,Sofia Rojas,Transferencia,5391.10,2026-05-14,13:53:58,Anulada
TX-000007,005-946335,Ana Torres,PagoServicio,8048.06,2026-12-25,04:24:57,Observada
TX-000008,002-678856,Lucia Vega,Deposito,8664.51,2026-10-01,15:05:07,Aprobada
TX-000009,001-793384,Carlos Perez,Deposito,14778.47,2026-11-29,04:08:20,Rechazada
TX-000010,002-498591,Lucia Vega,PagoServicio,9538.91,2026-05-22,16:28:56,Rechazada
TX-000011,006-472528,Carlos Perez,Deposito,10530.29,2026-09-23,11:07:33,Aprobada
TX-000012,003-660086,Fernando Diaz,Retiro,2459.40,2026-05-28,08:46:51,Pendiente
TX-000013,009-330283,Camila Ruiz,Deposito,12644.35,2026-10-29,08:50:36,Aprobada
TX-000014,004-961722,Ana Torres,Deposito,6023.46,2026-01-26,16:55:21,Rechazada
TX-000015,006-322955,Camila Ruiz,PagoServicio,5940.52,2026-12-22,04:12:04,Observada
TX-000016,003-377746,Maria Soto,Retiro,11177.38,2026-07-29,07:37:56,Pendiente
TX-000017,007-711878,Sofia Rojas,Deposito,3297.62,2026-02-23,17:20:43,Anulada
TX-000018,008-195325,Rosa Herrera,Transferencia,12917.93,2026-03-01,08:35:03,Rechazada
TX-000019,007-725380,Luis Ramos,PagoServicio,5730.47,2026-07-01,18:32:28,Anulada
TX-000020,005-680099,Miguel Castro,Transferencia,10207.45,2026-02-14,11:41:58,Anulada
TX-000021,005-905934,Camila Ruiz,Deposito,1682.17,2026-06-18,20:18:21,Rechazada
TX-000022,008-103402,Fernando Diaz,Deposito,14578.60,2026-10-23,22:00:08,Rechazada
TX-000023,009-211579,Miguel Castro,Deposito,12626.62,2026-07-17,03:45:39,Anulada
TX-000024,004-260263,Pedro Castillo,Retiro,8095.29,2026-10-30,09:19:29,Anulada
TX-000025,001-728038,Pedro Castillo,PagoServicio,301.96,2026-12-27,19:49:36,Pendiente
TX-000026,005-351083,Ana Torres,Retiro,13171.36,2026-01-31,14:04:08,Aprobada
TX-000027,008-955662,Luis Ramos,Retiro,1934.59,2026-07-04,13:57:10,Anulada
TX-000028,003-377932,Valeria Leon,PagoServicio,14465.80,2026-12-27,18:06:04,Anulada
TX-000029,004-847581,Lucia Vega,PagoServicio,14927.29,2026-09-10,09:18:09,Pendiente
TX-000030,008-642717,Jorge Medina,Transferencia,3726.11,2026-01-25,20:45:52,Pendiente
TX-000031,001-716886,Valeria Leon,Retiro,8830.72,2026-01-03,19:01:24,Aprobada
TX-000032,001-340062,Luis Ramos,Transferencia,12895.93,2026-01-28,12:26:18,Anulada
TX-000033,004-392004,Camila Ruiz,PagoServicio,3221.41,2026-02-21,09:14:08,Anulada
TX-000034,008-354801,Rosa Herrera,PagoServicio,12114.38,2026-03-15,22:44:56,Aprobada
TX-000035,002-790993,Sofia Rojas,Deposito,6359.44,2026-07-01,08:59:07,Aprobada
TX-000036,002-163556,Sofia Rojas,Deposito,12010.88,2026-02-12,10:27:40,Rechazada
TX-000037,004-299448,Valeria Leon,PagoServicio,2111.33,2026-03-13,06:13:56,Pendiente
TX-000038,008-361941,Miguel Castro,Transferencia,6652.53,2026-12-01,12:21:19,Anulada
TX-000039,002-153045,Camila Ruiz,Transferencia,14535.25,2026-12-26,18:21:57,Rechazada
TX-000040,003-526156,Jorge Medina,PagoServicio,3214.07,2026-06-05,17:57:59,Aprobada
TX-000041,003-497382,Ana Torres,PagoServicio,3985.39,2026-11-01,12:04:03,Observada
TX-000042,005-543555,Fernando Diaz,PagoServicio,2330.40,2026-04-26,05:31:02,Rechazada
TX-000043,001-707314,Fernando Diaz,Transferencia,11222.15,2026-01-23,04:49:08,Aprobada
TX-000044,008-627276,Elena Vargas,Retiro,862.62,2026-07-17,05:18:16,Aprobada
TX-000045,003-171849,Diego Flores,Transferencia,10131.44,2026-04-02,08:15:33,Observada
TX-000046,002-697347,Carlos Perez,Transferencia,9294.53,2026-06-12,19:27:33,Anulada
TX-000047,009-431737,Elena Vargas,Deposito,3071.85,2026-10-06,03:23:29,Pendiente
TX-000048,004-378517,Sofia Rojas,Retiro,10078.64,2026-04-27,12:10:31,Observada
TX-000049,006-888387,Elena Vargas,Transferencia,149.64,2026-08-30,05:37:25,Anulada
TX-000050,002-176819,Valeria Leon,Retiro,7593.21,2026-02-21,10:35:04,Pendiente
